party,url,content,date
liberal,https://www.liberal.ca/new-liberal-ad-the-choice-is-clear/,"

Share





Ottawa, ON – Today, the Liberal Party of Canada released a new series of ads that highlight how a re-elected Liberal government will continue to make life more affordable for Canadians, protect our environment, and keep our communities safe.
“Andrew Scheer wants you to think this election is about me. I think it’s about you,” said the Leader of the Liberal Party, Justin Trudeau, in one of the ads. “This is your country and your choice.”
As millions of Canadians gather with loved ones around the Thanksgiving dinner table, the choice they face on October 21st could not be more clear. Do we:

Build on a serious climate plan, or leave the problem to our kids and grandkids?
Keep cutting taxes for the middle class, or give tax breaks to big polluters and the wealthiest one percent?
Make gun control laws stronger, or weaker?
Invest in our future, or let the Conservatives cut everything we care about?

A re-elected Liberal government will build on the progress we’ve made and continue to make life more affordable for Canadians. Our plan will help people:

Save nearly $600 a year, per family, thanks to our tax cut that helps the middle class, not the richest one percent;
Save $1,000 a year on their family’s cell phone plans when we lower bills by 25 per cent;
See their aging parents’ Old Age Security go up by ten per cent once they turn 75, increasing by more $729 each year;
Save hundreds of dollars a month on mortgage payments if they’re buying their first home;
Get an interest-free loan of up to $40,000, and hundreds of dollars in incentives, if they want to retrofit their home and save more money on bills;
Save on medications their family needs when we implement Universal Pharmacare;
Save $800 a year when we lower fees for before and after school child care by ten percent;
Get up to $1,000 more to help with the costs of raising a newborn when we boost the Canada Child Benefit by 15 per cent for children under the age of one; and
Get more money when we make maternity and parental benefits tax-free, and get 15 weeks of paid leave if they adopt.

“Let’s do what Canadians always do,” said Mr. Trudeau. “Pull together and move forward.”
New Liberal Ad: Choose Forward — Your choice
New Liberal Ad: Choose Forward — Your choice
",2019-10-10
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-in-ottawa-3/,"

Share





Ottawa, ON – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at an open Liberal fundraising event in Ottawa on August 22, 2019.
In this fall’s important election, Ontarians and all Canadians will have a clear choice. While Conservatives want to go backward with cuts to vital services that families rely on, Liberals are focused on moving forward with our positive plan to invest in the middle class.
The Liberal Party of Canada has also committed to the strongest standards in federal politics for openness and transparency with political fundraising events, and is challenging other parties to do the same.
More details are available at https://www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Justin Trudeau in Ottawa:
Thursday, August 22, 2019
7:30 PM – Remarks by Justin Trudeau in Ottawa, ON
Holiday Inn & Suites Kanata
101 Kanata Ave.
Ottawa, ON, K2T 1E6
Notes for Media:
Open coverage for remarks
Media must arrive by 7:00 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-08-21
liberal,https://www.liberal.ca/liberal-supporters-achieve-q4-fundraising-record/,"

Share





Ottawa, ON – The Liberal Party of Canada has achieved its best-ever fourth quarter for grassroots fundraising outside of an election year, with more than 45,000 Canadians having contributed $6,361,562 to support Justin Trudeau and the Liberal team’s positive plan to strengthen the middle class and grow our economy.
This new Liberal fundraising record provides a strong start to 2019 with the federal election now less than 9 months away, and builds on a similar record achieved in the preceding quarter for the Liberal Party’s best-ever Q3 outside of an election year.
“Justin Trudeau and the Liberal team are making real progress to strengthen our middle class, grow our economy, and make life better for Canadian families, and Canadians are responding with some of the strongest grassroots fundraising support that our party has ever seen,” said Suzanne Cowan, President of the Liberal Party of Canada. “While Andrew Scheer is doubling down on the same divisive politics we saw from Stephen Harper and continuing to bar journalists from behind-closed-doors Conservative fundraising events, the Liberal Party is focused on positive politics and a real plan to build a better future for all Canadians.”
The median donation to the Liberal Party in Q4 was just $15 at a time, and 92 percent of all donations were under $200. There are also now more active monthly grassroots donors to the Liberal Party of Canada than at any other time in the party’s history.
Recent filings with Elections Canada have also highlighted that Liberal supporters are getting far more value for their donations than Conservatives. The 2017 annual returns show that the Conservative Party spent $7,189,100 on fundraising expenses throughout the year while the Liberal Party spent just $2,702,363.
Liberal campaigns across Canada are starting 2019 strong, with more than 165 Team Trudeau 2019 candidates already confirmed. Liberal volunteers have started more than one million new conversations with Canadians over the past year, and hosted more than 700 volunteer engagement events in 2018 – the party’s largest ever volunteer mobilization outside of an election.
",2019-01-30
liberal,https://www.liberal.ca/justin-trudeau-joins-supporters-at-team-trudeau-2019-nomination-event-with-trish-cowie/,"

Share





Port Sydney, ON – Justin Trudeau will join local Liberals for Trish Cowie’s Team Trudeau 2019 nomination event in Parry Sound—Muskoka on May 8, 2019.
Justin Trudeau and the Liberal team are focused on a strong plan for Ontario: to strengthen our middle class, grow the economy, invest in affordable housing and better roads and bridges, and protect a healthy environment for our kids and grandkids. More than 80,000 Ontarians have already signed up as new Liberals since the last election, and that grassroots support is continuing to grow every day.
Media are invited to cover remarks being delivered by Mr. Trudeau to volunteers and supporters in Parry Sound—Muskoka:
2019 Liberal Nomination event with remarks from Justin Trudeau
May 8, 2019
7:15 PM
Port Sydney Community Hall
607 Muskoka Road 10
Port Sydney, ON, P0B 1M0
Notes for Media:
Open media coverage
Media must arrive by 6:30 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-05-07
liberal,https://www.liberal.ca/justin-trudeau-to-join-mary-jean-mcfall-in-leeds-grenville-thousand-islands-and-rideau-lakes/,"

Share





Brockville, ON –Justin Trudeau, Leader of the Liberal Party of Canada, will join by-election candidate Mary Jean McFall in Leeds—Grenville—Thousand Islands and Rideau Lakes on Tuesday, November 27, 2018.
“Justin Trudeau and I are the only team that has a positive plan to strengthen the middle class, stand up for local jobs and agriculture industries, and provide real help for families and seniors in our region,” said Mary Jean McFall. “Real change is working for Canadian families, and we can’t afford to let Andrew Scheer’s Conservatives take us back to the failed policies of Stephen Harper – policies that left too many families in our region falling behind.”
Tuesday, November 27, 2018
2:45 PM: Community visit with Justin Trudeau and Mary Jean McFall at Geronimo’s Coffeehouse
146 Prescott St.
Kemptville, ON, K0G 1J0
Notes for Media: Photo Opportunity – Media should arrive by 2:00 PM
4:00 PM: Community visit with Justin Trudeau and Mary Jean McFall at Richard’s Coffeehouse
234 King St W
Brockville, ON, K6V 3R9
Notes for Media: Photo Opportunity – Media should arrive by 3:30 PM
All times are local.
For more information on Mary Jean McFall, visit her website here: http://maryjeanmcfall.liberal.ca/
",2018-11-26
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-in-toronto-3/,"

Share





Toronto, ON – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at an open Liberal fundraising event in Toronto, ON, on February 7, 2019.
The Liberal Party of Canada has committed to the strongest standards in federal politics for openness and transparency with political fundraising events, and is challenging other parties to do the same.
More details are available at https://www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Mr. Trudeau in Toronto:
Thursday, February 7, 2019
8:00 PM – Remarks by Justin Trudeau in Toronto, ON
Delta Hotels Toronto
75 Lower Simcoe St.
Toronto, Ontario, M5J 3A6
Notes for Media:
Open coverage for remarks
Media must arrive at the Rosedale Meeting Room by 7:30 PM
Please note: all times are local.
",2019-02-06
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-in-toronto-5/,"

Share





Toronto, ON – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at an open Liberal fundraising event in Toronto, ON, on April 5, 2019.
The Liberal Party of Canada has committed to the strongest standards in federal politics for openness and transparency with political fundraising events, and is challenging other parties to do the same.
More details are available at https://www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Mr. Trudeau in Toronto:
Friday, April 5, 2019
6:30 PM – Remarks by Justin Trudeau in Toronto, ON
Speducci Mercatto
44 Milford Ave
Toronto, ON, M6M 2V8
Notes for Media:
Open coverage for remarks
Media must arrive by 6:00 PM
Parking for media will be available next to Speducci Mercatto, using the Densley Ave. entrance
RSVP: media@liberal.ca
Please note: all times are local.
",2019-04-04
liberal,https://www.liberal.ca/new-liberal-ads-andrew-scheer-wants-to-take-canada-back-to-the-harper-years/,"

Share





Toronto, ON – Today, the Liberal Party of Canada released new ads warning Canadians that Andrew Scheer’s Conservatives would cut and paste from the playbook of Stephen Harper — making deep cuts to programs and less help for the people who need it.
“I’ve seen all kinds of governments come and go,” says Lawrence MacAulay, Liberal candidate in the riding of Cardigan, in one of the new ads. “When we elected the Conservatives all they did was cut taxes for the wealthy, and cut services for everyone else.”
Since 2015, a Liberal government has worked hard to undo the harmful changes made by the Conservatives. For example:

After Stephen Harper raised the retirement age to 67, we lowered it back to 65 and increased Old Age Security (OAS) payments;
After Harper closed offices and clawed back benefits for veterans, we re-opened those offices and re-instated lifelong pensions; and
After the Conservatives kept sending child care cheques to millionaires, we created the tax-free and more generous Canada Child Benefit — putting hundreds of dollars back into the pockets of middle class families, and those working hard to join the middle class.

Now, Andrew Scheer’s plan will lower taxes the most for wealthier Canadians. With his approach, a person making $40,000 will get less than a person making $400,000. He also voted against lowering the OAS eligibility age from 67 to 65 — which boosts seniors’ retirement savings by thousands of dollars — and his party pledged to reverse the changes we made to strengthen the Canada Pension Plan.
The Liberal plan, however, builds on the progress we’ve made investing in families, workers, and communities. Under our plan, we will cut taxes for the middle class, without giving a break to millionaires. We will give more help to older Canadians and veterans. And we will continue to take bold action to protect our environment and fight climate change.
“Soon, Canadians will have a choice to make,” said Leader of the Liberal Party, Justin Trudeau. “Go back to the Harper years, or keep moving forward with a government that stands by all Canadians.”
New Liberal Ad: Choose Forward — Atlantic Canada (Full)
New Liberal Ad: Choose Forward — Atlantic Canada
",2019-09-30
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-in-gatineau/,"

Share





Gatineau, QC – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at the Laurier Club Holiday Reception, an annual donor appreciation event, in Gatineau on December 11, 2018.
The Liberal Party of Canada has committed to the strongest standards in federal politics for openness and transparency, and is challenging other parties to do the same.
For Liberal fundraising events that include Ministers or the Leader as the special guest, Canadians are now able to view upcoming events posted at least 3 days in advance, and access event reports and lists of guests no more than 45 days after each event. These events are hosted in publicly accessible spaces only, and the party has also committed to facilitating media coverage.
More details are available at https://www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Mr. Trudeau in Gatineau:
Tuesday, December 11, 2018
7:20 PM – Remarks by Justin Trudeau
Canadian Museum of History
100 Laurier St.
Gatineau, Quebec, K1A 0M8
Notes for Media:
Open coverage for remarks
Media must arrive by 6:30 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2018-12-10
liberal,https://www.liberal.ca/itinerary-for-justin-trudeau-september-12-2019/,"

Share





Please note all times are local.
Victoria, British Columbia
8:00 a.m. – Leader of the Liberal Party of Canada, Justin Trudeau, will make an announcement and will hold a media availability.
4355 Viewmont Avenue
Notes for media:

Open coverage
Media must arrive by 7:30 a.m.
RSVP: media@liberal.ca

Kamloops, British Columbia
Leader of the Liberal Party of Canada, Justin Trudeau, will attend an event with the Liberal candidate for Kamloops, Terry Lake.
Edmonton, Alberta
5:30 p.m. – Leader of the Liberal Party of Canada, Justin Trudeau, will join supporters and deliver remarks at a Team Trudeau 2019 Campaign Rally.
Westbury Theatre
ATB Financial Arts Barns Building
10330 84 Avenue NW
Note for media:

Open coverage
Media must arrive by 4:30 p.m.
RSVP: media@liberal.ca

",2019-09-11
liberal,https://www.liberal.ca/justin-trudeau-speaks-to-supporters-at-a-summer-corn-roast-in-saint-jean-quebec/,"

Share





Sabrevois, QC – Justin Trudeau will join local Liberals and Liberal MPs from the South Shore on August 16, 2018 for a summer corn roast in Sabrevois.
As part of the Liberal Party of Canada’s Summer of Action campaign, volunteers across Canada have been starting thousands of new conversations with Canadians on the doorstep – focused on their ideas for building a better future. More than 30,000 Quebecers have registered as new Liberals in the last two years alone – and that grassroots support is continuing to grow every day.
Media are invited to cover remarks being delivered by Mr. Trudeau to volunteers and supporters in Sabrevois:
16 August, 2018
7:00 PM EDT
Corn Roast with the South Shore Liberals
With remarks from Justin Trudeau
Ferme Reid
485 Rte 133
Sabrevois, QC J0J 2G0
Notes for Media:
Open media coverage
Media must arrive by 6:30 PM
A limited number of reserved parking spaces for media will be available behind the barn.
RSVP: media@liberal.ca
Please note: all times are local.
",2018-08-15
liberal,https://www.liberal.ca/liberals-move-forward-to-protect-canadas-land-and-oceans-and-give-every-kid-the-chance-to-learn-to-camp/,"

Share





Sudbury, ON — A re-elected Liberal government will protect 25 per cent of Canada’s land and 25 per cent of Canada’s oceans by 2025, as well as give every kid in Canada the chance to learn to camp.
Canada has the longest coastline in the world, one-fifth of the world’s fresh water, and vast and wild forests — but climate change puts them all at risk. It’s more important than ever to protect the natural landscape we know and love. At the same time, Canadians of all ages should have the chance to enjoy our natural wonders and learn more about our country.
“We have listened to the courageous voices of young people who are demanding that their governments take bold action to protect our nature for future generations,” said Leader of the Liberal Party, Justin Trudeau. “And we know that we raise environmental champions by helping the next generation experience Canada’s natural beauty firsthand.”
A re-elected Liberal will continue down the path of conservation and environmental protection:

We will conserve and protect 25 per cent of Canada’s land and 25 per cent of Canada’s oceans by 2025, working towards 30 per cent of each by 2030;
We will ground these efforts in science, Indigenous knowledge, and local perspectives;
We will also advocate for countries around the world to set a 30 per cent conservation goal as well;
We will give every child the chance to learn how to camp by the time they reach grade eight, expanding the successful Learn to Camp program:
This will make it possible for 400,000 kids each year to learn the skills to enjoy camping; and
We will give 75,000 less privileged children and their families an up to four night trip to one of Canada’s National or Provincial Parks:
This includes camping accommodations and a travel bursary of up to $2,000 so that families can more easily afford a once-in-a-lifetime trip to more national parks like Banff, Gros Morne, Forillon and the Cape Breton Highlands.

This builds on a strong Liberal tradition of protecting Canada’s land and oceans, including:

Making the largest investment in nature conservation in Canadian history;
Conserving land areas equal to about 3.5 times the size of Nova Scotia;
Boosting the amount of protected coastal and ocean areas from 1 per cent to 14 per cent;
Creating Rouge National Urban Park, North America’s largest urban park, and the Edéhzhíe Protected Area, the first Indigenous protected area;
Working in partnership with Inuit to protect the Arctic’s last year-round sea ice, as well as sensitive areas in the Gulf of St. Lawrence, and glass sponge reefs off the coast of British Columbia.

“The Conservatives spent a decade starving Parks Canada of funding, and ripping up protections for nearly all Canadian waters,” said Mr. Trudeau. “We only get one planet, and one Canada. Let’s protect it, for our kids and grandkids to enjoy — today and for years to come.”
Backgrounder: Protecting nature and helping every kid learn to camp
",2019-09-26
liberal,https://www.liberal.ca/final-debate-before-election-day-justin-trudeau-presents-a-strong-plan-to-move-forward/,"

Share





Gatineau, QC – Tonight, the Leader of the Liberal Party of Canada, Justin Trudeau, showed once again that the Liberals are the only party with a credible plan for the environment, the economy, and middle-class families.
“What we saw in 2015 was that Quebecers and Canadians chose to be part of a government. That’s what ended Mr. Harper’s 10 years of not investing in culture and cutting everywhere, said the leader of the Liberal Party of Canada, Justin Trudeau, during the debate. We will always stand up for our values ​​and principles, such as the right of women to choose and the rights of Francophones across Canada. That’s what we will always do.”
Once again, the debate made it clear that Andrew Scheer is completely disconnected from the reality of Quebecers and Francophone communities across the country. His divisive policies and negative tone offer nothing concrete for young people, middle-class families, and seniors. We know that the Conservatives’ phantom platform will give $50,000 in tax credits to millionaires, but with only a few days left until the election, we still don’t know which services they will cut.
Just like we’ve done for the last four years, the Liberal Party is choosing to invest in middle-class families by putting even more money back in their pockets, whether by cutting their taxes or lowering their cell phone bills.
Justin Trudeau also took the opportunity to remind Canadians that the Liberal Party is the only one with a credible plan to fight climate change while creating good jobs — from planting two billion trees, to helping Canadians retrofit their homes to make them more energy-efficient.
Finally, Justin Trudeau reaffirmed that a diverse and open Canada is a stronger Canada. Newcomers grow our economy, strengthen our communities, and help reduce labour shortages.
“In a few days, Quebecers — and all Canadians — will have a choice to make about the future of our country,” said Justin Trudeau. “If the environment, the rising cost of living, and gun control matter to you, the Liberal Party is the party that will deliver. It’s by electing people to government — not to the opposition benches — that we can make progress. On October 21, let’s pull together and continue to move forward.”
",2019-10-10
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-at-the-nova-scotia-liberal-agm/,"

Share





Antigonish, NS – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at the 2019 AGM of the Nova Scotia Liberal Party, on May 24, 2019, in Antigonish.
Nova Scotia and Atlantic Canada have been a major focus of the Liberal Party’s growth as a movement since the last election, with more than 20,000 Atlantic Canadians having registered as new Liberals since the last election.
Justin Trudeau and the Liberal team are focused on a strong plan for Nova Scotia families: to strengthen the middle class, create good new jobs, grow the economy, and protect a healthy environment for our kids and grandkids.
Media are invited to cover remarks being delivered by Mr. Trudeau in Antigonish:
Friday, May 24, 2019
Remarks – 7:00 PM
St. Francis Xavier University
Bloomfield Centre, MacKay Room
3090 Martha Drive
Antigonish, NS, B2G 2W5
Notes for Media:
Open coverage
Media must arrive no later than 6:30 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-05-23
liberal,https://www.liberal.ca/andrew-scheer-will-hide-cuts-in-uncosted-platform/,"

Share





OTTAWA – By refusing to have the independent Parliamentary Budget Officer cost the Conservative platform, Andrew Scheer is following Doug Ford’s lead by planning to hide massive cuts, said Liberal MP Pablo Rodriguez.
Rodriguez was referring to a Radio-Canada report this morning that stated Andrew Scheer’s Conservatives are refusing to allow the Parliamentary Budget Officer to independently audit the Conservative election platform.
“Andrew Scheer is refusing to allow an independent check of the numbers so the Conservatives can hide massive cuts,” said Rodriguez. “That’s what Doug Ford did and now Ontarians are seeing cuts to their libraries, cuts to flood mitigation, cuts to public health agencies that work to address health crises like SARS, H1N1, and others. Andrew Scheer is planning to do the same thing.”
The Liberal Party welcomes the external costing of our platform by the Parliamentary Budget Officer. Andrew Scheer refuses to be upfront with Canadians about what he will cut. But his actions speak louder than his words:

Scheer is opposed to lowering taxes for the middle class and raising them on the wealthiest.
Scheer is opposed to the Canada Child Benefit that helps more than 3.2 million families and more than 5.8 million children.
Scheer is opposed to the increase to the Guaranteed Income Supplement, which helps almost 800,000 seniors across the country.
Scheer is opposed to strengthening the Canada Pension Plan, which helps Canadians afford a more secure retirement.

“We challenge Andrew Scheer to stop taking his marching orders from Doug Ford and submit his platform to the PBO. This provides open and transparent information to Canadians so that they are able to know what Andrew Scheer will cut before they make their decision this October,” said Rodriguez.
",2019-05-02
liberal,https://www.liberal.ca/liberal-party-of-canada-announces-2020-liberal-national-convention/,"

Share





Ottawa, ON – The Liberal Party of Canada announced today that the 2020 Liberal National Convention will be hosted in Ottawa, Ontario, from November 12- 15, 2020.
“After a successful re-election campaign driven by the largest volunteer mobilization in our party’s history, I’m looking forward to welcoming Liberals from across Canada to our 2020 Liberal National Convention in Ottawa,” said Suzanne Cowan, President of the Liberal Party of Canada. “As Justin Trudeau and our Liberal team move forward with a new mandate of hard work for Canadians, this convention will bring together Liberals from every part of Canada to continue growing the most open and inclusive movement in Canadian politics.”
The 2020 Liberal National Convention will welcome thousands of supporters for policy discussions, keynote speakers, innovative campaign trainings, and the election of our National Board of Directors. This convention will build on the success of the 2018 Liberal National Convention in Halifax, which set a strong foundation for the 2019 federal election campaign by welcoming more youth under 25 as participants than ever before — and more than half of all participants were attending their first-ever political convention.
“The decision to hold the 2020 Liberal National Convention here in Ottawa, home to Canada’s Parliament, speaks to our commitment to bringing Canadians together and engaging more people in our democracy,” said Mona Fortier, Member of Parliament for Ottawa—Vanier. “Justin Trudeau and our Liberal team are ready to move forward with our plan to make life more affordable for the middle class, grow our economy, keep our communities safe, and fight climate change — and the 2020 Liberal National Convention will help shape the next steps of our work together to build a better future.”
The convention will build on the grassroots organizing that led towards the Liberal Party of Canada’s successful 2019 re-election campaign, which also saw the party’s largest-ever volunteer mobilization and digital engagement programs. Tens of thousands of Liberal volunteers made more than 21 million knocks and calls before and during the campaign to start new conversations with Canadians about Justin Trudeau’s positive plan to Choose Forward.
",2019-11-13
liberal,https://www.liberal.ca/new-liberal-ad-liberal-tax-cut-for-the-middle-class-vs-conservative-tax-break-for-millionaires/,"

Share





Ottawa, ON – Today, the Liberal Party of Canada released a new ad highlighting that a re-elected Liberal government will give middle class families an extra $600 every year by lowering taxes, while a Conservative government would give more breaks to millionaires.
“We believe in helping those who need it most: middle class Canadians and people working hard to join them,” says the Leader of the Liberal Party of Canada, Justin Trudeau, in the new ad. “We’re proposing a tax cut, where a middle class family gets $600 and the wealthiest one per cent get zero.”
Earlier this week, we announced that a re-elected Liberal government will make sure middle class Canadians, and the people working to join the middle class, pay no federal taxes on the first $15,000 they earn. This will be done by raising the Basic Personal Amount (BPA) by almost $2,000 for people earning under $147,000 a year.
This Liberal middle class tax cut will:

Save the average family nearly $600 a year;
Mean 700,000 people will pay no tax at all — nearly 60 per cent of whom are women;
Lift about 40,000 Canadians out of poverty; and
Benefit only the middle class and those working hard to join it, not the richest one percent.

Andrew Scheer has a plan that will lower taxes the most for wealthier Canadians. With his approach, a person making $40,000 will get less than a person making $400,000.
“Whenever the Conservatives cut taxes, they cut them for the wealthy — and in this election, it’s no different,” continues Mr. Trudeau in the ad. “The Conservative approach would go back to giving tax breaks to millionaires.”
This middle class tax cut is just one way a re-elected Liberal government will make life more affordable, saving Canadian families thousands of dollars each year. An average family in Canada will also:

Save $1,000 a year on their family’s cell phone plans when we lower bills by 25 per cent;
See their aging parents’ Old Age Security go up by ten per cent once they turn 75, increasing by more $729 each year;
Save hundreds of dollars a month on mortgage payments if they’re buying their first home;
Get an interest-free loan of up to $40,000, and hundreds of dollars in incentives, if they want to retrofit their home and save more money on bills;
Save on medications their family needs when we implement Universal Pharmacare;
Save $800 a year when we lower fees for before and after school child care by ten percent;
Get up to $1,000 more to help with the costs of raising a newborn when we boost the Canada Child Benefit by 15 per cent for children under the age of one; and
Get more money when we make maternity and parental benefits tax-free, and get 15 weeks of paid leave if they adopt.

New Liberal Ad: Middle Class Tax Cut 
",2019-09-28
liberal,https://www.liberal.ca/armenias-independence-day-statement-by-the-leader-of-the-liberal-party-of-canada/,"

Share





The Leader of the Liberal Party of Canada, Justin Trudeau, today issued the following statement on Armenia’s Independence Day:
“Today, we join Armenian communities across Canada and around the world to celebrate the anniversary of Armenia’s independence.
Canada and Armenia are bound by shared values of justice, democracy, and freedom, as well as our work together in international organizations like La Francophonie.
Last year, I had the chance to visit Armenia and meet with Prime Minister Pashinyan to discuss further strengthening our bilateral relationship through travel, tourism, and trade. The visit shone a light on the close ties between Canadians and Armenians – ties that are at the heart of our relationship.
In Canada, we know that diversity is our strength, and every day, the 60,000-strong Armenian Canadian community contributes to our country’s success. When Armenian Canadians welcomed thousands of Syrian refugees, they showed the way forward with compassion and generosity. We share a commitment to the successful settlement and integration of all newcomers.
On behalf of our family, Sophie and I wish a happy Armenian Independence Day to everyone celebrating.”
",2019-09-21
liberal,https://www.liberal.ca/andrew-scheers-vision-for-canada-does-not-include-reconciliation/,"

Share





Ottawa, ON – Liberal M.P. , the Hon. Carolyn Bennett, issued the following statement today:
“In December, First Nations Chiefs asked Andrew Scheer what his policy toward the spirit of reconciliation would be. How would he differ from his Conservative predecessors?
“They were not happy to hear his response that they should have patience and wait for his platform.
“Andrew Scheer has now completed his five “major policy speeches,” outlining his party’s next election platform. The word “reconciliation,” was not uttered once.
“His silence on this issue is not only disrespectful, it is totally irresponsible. There are more than 1.6 million First Nations, Inuit and Métis in Canada, and they are the fastest growing population. A “vision” for Canada that does not include a plan to recognize and implement the rights of First Nations, Inuit, and Métis, or to close the socioeconomic gaps between Indigenous and non-Indigenous peoples is completely unacceptable.
“Meanwhile, Andrew Scheer’s Conservative Senators are blocking Bill C-262, an important piece of legislation that would ensure that Canada’s laws respect the United Nations Declaration of the Rights of Indigenous Peoples. Since they refuse to let this legislation pass, the Liberal Party will make it part of our election platform this fall.
“Andrew Scheer is applying to be the leader of our country. He has a responsibility to understand the issues facing the First Peoples of this country and work with First Nations, Inuit and Métis in order to come to the table with a real plan to address their priorities.
“Canadians have supported and are working towards a new relationship with indigenous peoples based upon the recognition of rights, respect, cooperation and partnership.
“With his final policy speech yesterday, Andrew Scheer has confirmed what Canadians have long suspected: Reconciliation with Indigenous peoples is not part of his Vision for Canada.
“Stephen Harper did not work with Indigenous peoples to advance reconciliation and demonstrated that he thought Ottawa knew best.
“Andrew Scheer has demonstrated that he is no different.”
",2019-06-20
liberal,https://www.liberal.ca/statement-by-the-leader-of-the-liberal-party-of-canada-on-navratri/,"

Share





The Leader of the Liberal Party of Canada, Justin Trudeau, today issued the following statement on Navratri:
“Today, Hindu communities in Canada and around the world will celebrate the beginning of Navratri.
One of the most important festivals of the year, Navratri symbolizes the triumph of good over evil. Over the next nine nights, families and friends will come together to pray, share meals, dance, and celebrate.
Around the world, Hindus and non-Hindus alike celebrate this festival. Canada is, and always will be, stronger because of our diversity. Today, let’s appreciate everything that brings us together, and celebrate the many contributions that Hindu Canadians make to our communities and our country.
On behalf of our family, Sophie and I wish a happy Navratri to everyone celebrating.”
",2019-09-29
liberal,https://www.liberal.ca/young-people-can-help-move-canada-forward/,"

Share





Ottawa, ON — For the first time ever, young Canadians will outnumber every other voting-aged generation. They have the power to help move Canada forward, standing up against the Conservatives’ cuts and regressive politics.
Today, Liberal candidates Catherine McKenna, Harjit Sajjan and Mélanie Joly are encouraging young people to use that power and vote — especially now that it’s easier than ever, with special voting stations opening on a number of college and university campuses from today until October 9.
Up To YOUth — a campaign created by young leaders involved with the Liberal Party of Canada — is also highlighting why a re-elected Liberal government is the best choice to move Canada forward on the issues that young Canadians care most about.
“The things we’re talking about as Liberals — more affordable tuition, rent and cell phone bills, stronger actions to fight climate change — they’re resonating with young people,” said McKenna, the Liberal candidate in the riding of Ottawa Centre. “So we’re seeing more and more young people stepping up and asking how they can be partners in creating a Canada that is more fair, and more affordable, for everyone.”
In 2015, young people came out in record numbers to elect Justin Trudeau and the Liberal Party — countering the idea that they care less about democracy, or are less engaged with what’s happening in the world.
“Young people care about improving the lives of others, about fighting the climate crisis, and ensuring that everyone feels welcome and accepted in Canada,” said Sajjan, the Liberal candidate in the riding of Vancouver South. “Those values are Liberal values, and young people see that.”
For example, a re-elected Liberal government will:

Give up to $1,200 more each year to students to pay for tuition, books and rent by increasing Canada Student Grants by 40 per cent;
Give students two years — interest free — before they need to begin repaying student loans, and then only if they’re earning at least $35,000.
Make life more affordable for young people, lowering cell phone bills by 25 per cent and saving first time homebuyers hundreds on their mortgage each month;
Get Canada to net-zero carbon emissions by 2050, in part by planting two billion trees;
Continue to make big polluters pay, and conserving 25 per cent of Canada’s land and waters;
Protect women’s rights to make decisions about their bodies, and improve their access to health care;
Set clear national standards for access to mental health services so Canadians can get the support they need quickly, when they need it most;
Protect same-sex marriage, ban conversion therapy and fund more LGBTQ2 community groups;
Fight racism, and target online hate speech, exploitation, bullying and harassment; and
Make big corporations and the wealthiest one per cent of Canadians pay their fair share of taxes.

“Young people are paying attention — they know what an Andrew Scheer government will do,” said Ahuntsic-Cartierville Liberal candidate, Joly. “The very wealthiest will get to keep more money. Big polluters will get to dirty our air and water for free again. Debates we thought were over — about abortion or same-sex marriage — will resurface. Young people aren’t going to stand by and let that happen, and neither will we.”
Backgrounder: More money and flexibility for college and university students
",2019-10-05
